GEO_ID,S1903_C03_001E
id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1400000US13063040524,48433
1400000US13063040525,42925
1400000US13063040526,54334
1400000US13063040606,45800
1400000US13063040608,68047
1400000US13063040609,58750
1400000US13063040611,40995
1400000US13063040612,34517
1400000US13063040613,75135
1400000US13063040614,95603
1400000US13063040615,62153
1400000US13063040616,58379
1400000US13063040617,33359
1400000US13063040619,66216
1400000US13063040620,72700
1400000US13063040621,62705
1400000US13063040622,51672
1400000US13063980000,-
1400000US13065970100,28913
1400000US13065970200,19297
1400000US13067030101,89819
1400000US13067030103,89863
1400000US13067030104,52119
1400000US13067030106,64326
1400000US13067030107,100857
1400000US13067030209,110000
1400000US13067030214,90469
1400000US13067030215,75463
1400000US13067030218,147696
1400000US13067030219,121469
1400000US13067030220,91838
1400000US13067030222,111122
1400000US13067030223,76559
1400000US13067030224,84429
1400000US13067030226,85264
1400000US13067030227,65673
1400000US13067030228,50172
1400000US13067030229,67768
1400000US13067030230,79243
1400000US13067030231,109602
1400000US13067030232,108375
1400000US13067030233,102868
1400000US13067030234,118810
1400000US13067030235,105819
1400000US13067030236,145938
1400000US13067030238,113047
1400000US13067030239,131750
1400000US13067030310,78692
1400000US13067030311,85197
1400000US13067030312,70437
1400000US13067030313,94408
1400000US13067030314,109192
1400000US13067030318,150164
1400000US13067030319,98938
1400000US13067030320,95114
1400000US13067030322,103639
1400000US13067030324,101250
1400000US13067030326,156037
1400000US13067030327,115223
1400000US13067030328,136076
1400000US13067030329,107072
1400000US13067030330,126546
1400000US13067030331,115375
1400000US13067030332,133646
1400000US13067030333,140345
1400000US13067030334,123966
1400000US13067030335,153889
1400000US13067030336,180536
1400000US13067030337,169188
1400000US13067030339,75532
1400000US13067030340,160750
1400000US13067030341,121167
1400000US13067030342,123281
1400000US13067030343,127375
1400000US13067030344,49206
1400000US13067030345,71676
1400000US13067030405,49406
1400000US13067030407,74196
1400000US13067030408,77577
1400000US13067030409,120156
1400000US13067030410,67993
1400000US13067030411,38994
1400000US13067030412,46094
1400000US13067030413,50325
1400000US13067030414,44578
1400000US13067030502,96667
1400000US13067030504,83611
1400000US13067030505,51744
1400000US13067030506,65259
1400000US13067030507,84545
1400000US13067030601,66991
1400000US13067030602,92684
1400000US13067030700,45298
1400000US13067030800,54205
1400000US13067030901,78655
1400000US13067030902,63838
1400000US13067030904,43158
1400000US13067030905,69261
1400000US13067031001,29016
1400000US13067031002,36536
1400000US13067031004,44507
1400000US13067031005,70771
